NBA_City,NBA_Team,NBA_SP
Atlanta,Hawks,Georgia
Boston,Celtics,Massachusetts
Brooklyn,Nets,New York
Charlotte,Hornets,North Carolina
Chicago,Bulls,Illinois
Cleveland,Cavaliers,Ohio
Dallas,Mavericks,Texas
Denver,Nuggets,Colorado
Detroit,Pistons,Michigan
San Francisco,Warriors,California
Houston,Rockets,Texas
Indianapolis,Pacers,Indiana
Los Angeles,Clippers,California
Los Angeles,Lakers,California
Memphis,Grizzlies,Tennessee
Miami,Heat,Florida
Milwaukee,Bucks,Wisconsin
Minneapolis,Timberwolves,Minnesota
New Orleans,Pelicans,Louisiana
New York,Knicks,New York
Oklahoma City,Thunder,Oklahoma
Orlando,Magic,Florida
Philadelphia,76ers,Pennsylvania
Phoenix,Suns,Arizona
Portland,TrailBlazers,Oregon
Sacramento,Kings,California
San Antonio,Spurs,Texas
Toronto,Raptors,Ontario
Salt Lake City,Jazz,Utah
Washington,Wizards,DC
