Year,WinningCity,WinningTeam,LosingCity,LosingTeam
1948,Baltimore,Bullets,Philadelphia,Warriors
1957,Boston,Celtics,St. Louis,Hawks
1959,Boston,Celtics,Minneapolis,Lakers
1960,Boston,Celtics,St. Louis,Hawks
1961,Boston,Celtics,St. Louis,Hawks
1962,Boston,Celtics,Los Angeles,Lakers
1963,Boston,Celtics,Los Angeles,Lakers
1964,Boston,Celtics,San Francisco,Warriors
1965,Boston,Celtics,Los Angeles,Lakers
1966,Boston,Celtics,Los Angeles,Lakers
1968,Boston,Celtics,Los Angeles,Lakers
1969,Boston,Celtics,Los Angeles,Lakers
1974,Boston,Celtics,Milwaukee,Bucks
1976,Boston,Celtics,Phoenix,Suns
1981,Boston,Celtics,Houston,Rockets
1984,Boston,Celtics,Los Angeles,Lakers
1986,Boston,Celtics,Houston,Rockets
2008,Boston,Celtics,Los Angeles,Lakers
1991,Chicago,Bulls,Los Angeles,Lakers
1992,Chicago,Bulls,Portland,TrailBlazers
1993,Chicago,Bulls,Phoenix,Suns
1996,Chicago,Bulls,Seattle,SuperSonics
1997,Chicago,Bulls,Salt Lake City,Jazz
1998,Chicago,Bulls,Salt Lake City,Jazz
2016,Cleveland,Cavaliers,San Francisco,Warriors
2011,Dallas,Mavericks,Miami,Heat
1989,Detroit,Pistons,Los Angeles,Lakers
1990,Detroit,Pistons,Portland,TrailBlazers
2004,Detroit,Pistons,Los Angeles,Lakers
1975,San Francisco,Warriors,Washington,Bullets
2015,San Francisco,Warriors,Cleveland,Cavaliers
1994,Houston,Rockets,New York,Knicks
1995,Houston,Rockets,Orlando,Magic
1972,Los Angeles,Lakers,New York,Knicks
1980,Los Angeles,Lakers,Philadelphia,76ers
1982,Los Angeles,Lakers,Philadelphia,76ers
1985,Los Angeles,Lakers,Boston,Celtics
1987,Los Angeles,Lakers,Boston,Celtics
1988,Los Angeles,Lakers,Detroit,Pistons
2000,Los Angeles,Lakers,Indianapolis,Pacers
2001,Los Angeles,Lakers,Philadelphia,76ers
2002,Los Angeles,Lakers,New Jersey,Nets
2009,Los Angeles,Lakers,Orlando,Magic
2010,Los Angeles,Lakers,Boston,Celtics
2020,Los Angeles,Lakers,Miami,Heat
2006,Miami,Heat,Dallas,Mavericks
2012,Miami,Heat,Oklahoma City,Thunder
2013,Miami,Heat,San Antonio,Spurs
1971,Milwaukee,Bucks,Baltimore,Bullets
2021,Milwaukee,Bucks,Los Angeles,Suns
1949,Minneapolis,Lakers,Washington,Capitols
1950,Minneapolis,Lakers,Syracuse,Nationals
1952,Minneapolis,Lakers,New York,Knicks
1953,Minneapolis,Lakers,New York,Knicks
1954,Minneapolis,Lakers,Syracuse,Nationals
1970,New York,Knicks,Los Angeles,Lakers
1973,New York,Knicks,Los Angeles,Lakers
1947,Philadelphia,Warriors,Chicago,Stags
1956,Philadelphia,Warriors,Fort Wayne,Pistons
1967,Philadelphia,76ers,San Francisco,Warriors
1983,Philadelphia,76ers,Los Angeles,Lakers
1977,Portland,TrailBlazers,Philadelphia,76ers
1951,Rochester,Royals,New York,Knicks
1999,San Antonio,Spurs,New York,Knicks
2003,San Antonio,Spurs,New Jersey,Nets
2005,San Antonio,Spurs,Detroit,Pistons
2007,San Antonio,Spurs,Cleveland,Cavaliers
2014,San Antonio,Spurs,Miami,Heat
2017,San Francisco,Warriors,Cleveland,Cavaliers
2018,San Francisco,Warriors,Cleveland,Cavaliers
1979,Seattle,SuperSonics,Washington,Bullets
1958,St. Louis,Hawks,Boston,Celtics
1955,Syracuse,Nationals,Fort Wayne,Pistons
2019,Toronto,Raptors,San Francisco,Warriors
1978,Washington,Bullets,Seattle,SuperSonics
